Nombre,Resumen generado por la IA,País,Entidad,Og_Resumida,Base URL,Categoría,Disciplina,Disciplina Limpia,Inscripcion,Monto,Moneda,Monto_USD,Premio_USD,Inscripcion_USD_web
Residencia | Residencia de Creación en Artes Visuales con subvención,Residencia | Residencia de Creación en Artes Visuales con subvención,Canadá,Fondation Grantham,"Dirigido a artistas con al menos cinco años de práctica profesional en artes visuales. No requiere pago. Disciplinas: fotografía, instalación, escultura, pintura, arte gráfico, performance, arte sonoro, prácticas digitales y mediáticas. Abierto a artistas de todo el mundo, incluida Latinoamérica.",https://www.fondationgrantham.org/en/creation-residency-in-visual-arts,Residencia,"Visuales, Fotografía, Instalación, Escultura, Pintura, Arte gráfico, Performance, Arte sonoro",Escénicas,Sin cargo,,CAD,10000.00,10000.0,
Premio | XVIII Premio MAVI UC Arte Joven,Premio | XVIII Premio MAVI UC Arte Joven,Chile,Museo de Artes Visuales MAVI UC,"Dirigido a artistas visuales de 18 a 35 años, chilenos o extranjeros con residencia y cédula chilena vigente. No requiere pago para participar. Disciplinas: pintura, dibujo, escultura, fotografía, grabado, técnicas mixtas, collage, arte textil, instalación, video instalación, videoarte y arte digital. Abierto solo a participantes que cumplan los requisitos en Chile.",https://mavi.uc.cl/convocatorias-para-artistas/premio-mavi-uc-2024/,Premio,Visuales,Visuales,Sin cargo,$3.000.000,CLP,3220.13,3220.13,
Convocatoria | 22a. The Pollux Awards,Convocatoria | 22a. The Pollux Awards,Virtual,FotoNostrum Group,"Dirigido a fotógrafos de todo el mundo, profesionales y aficionados, que trabajen en todos los medios, estilos y corrientes de pensamiento. Edad: mayores de 13 años. Exposición en FotoNostrum durante 2026. Requiere pago de inscripción que varia según la cantidad.",https://www.thepolluxawards.com/rules,Convocatoria,"Visuales, Fotografía",Visuales,Pago,,,280.00,280.0,35.0
Premio | Premio Argentino a las Artes Visuales Fundación OSDE,Premio | Premio Argentino a las Artes Visuales Fundación OSDE,Argentina,Fundación OSDE,"Dirigido a artistas y colectivos argentinos o extranjeros con residencia de al menos dos años en Argentina, mayores de 18 años. Serán admitidas todas las expresiones de las artes visuales, sin límite de técnica, procedimiento y/o medios digitales. Se podrá presentar una (1) obra por artista o colectivo de artistas. La fecha de realización de la obra no podrá ser anterior al año 2023.
Disciplinas: todas las artes visuales sin restricciones técnicas. No está abierto a artistas de otros países de Latinoamérica.",https://www.instagram.com/fundacionosde,Premio,Visuales,Visuales,Sin cargo,13500000.00,ARS,11208.16,11208.16,
Premio | Concurso Segundas Películas 2025,Premio | Concurso Segundas Películas 2025,Argentina,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),Dirigido a productores mayores de 18 años acompañados de directores que aspiren a dirigir su segundo largometraje de ficción. No requiere pago para participar. Disciplina: cine (largometrajes de ficción). Abierto exclusivamente a postulantes en Argentina.,https://www.incaa.gob.ar/concurso-segundas-peliculas-2025/,Premio,"Cine, Largometraje",Cine,Sin cargo,,ARS,450000.00,225000.0,
Convocatoria | FotoNostrum Portrait Award,Convocatoria | FotoNostrum Portrait Award,España,FotoNostrum,Dirigido a fotógrafos profesionales y no profesionales mayores de 15 años de cualquier parte del mundo. Requiere pago. Disciplina: fotografía de retrato. Abierto a artistas de América Latina.,https://www.theportraitaward.com/,Convocatoria,"Visuales, Fotografía",Visuales,Pago,,EUR,,,24.0
Convocatoria | Becas 2025 Museo del Prado,Convocatoria | Becas 2025 Museo del Prado,España,Museo del Prado,"Convocatoria de 12 becas de becas de investigación y formación que promuevan la capacitación técnica de especialistas en materias de la competencia del Museo del Prado: conservación, restauración, museología, desarrollo digital y gestión cultural. Cada una de las becas tendrá una duración de veinticuatro meses (24) consecutivos. Los aspirantes deben tener nacionalidad española o de algún otro Estado Miembro de la UE; ser residente en España en el momento de incorporarse a la beca; poseer un alto dominio del idioma español –hablado y escrito.",https://www.museodelprado.es/museo/beca/becas-2025-museo-del-prado/66762c9d-453b-1996-5183-d855858ae22e,Beca,"Otras, Conservación, Restauración, Museología, Gestión Cultural",Otras,Sin cargo,1.400.000,EUR,,,
Convocatoria| VI Premio Portfolio FotoNostrum,Convocatoria | VI Premio Portfolio FotoNostrum,España,Revista FotoNostrum,Dirigido a fotógrafos profesionales y no profesionales a nivel mundial. Requiere pago de inscripción. Disciplina: fotografía. Está abierto a artistas de Latinoamérica. Se seleccionarán al menos 12 portfolios para su publicación en futuros números de la revista.Un portfolio recibirá el Premio FotoNostrum Magazine 2024. La temática es abierta y las imágenes pueden ser de cualquier fecha.,https://www.fotonostrummag.com/magazine-awards-1,Convocatoria,"Visuales, Fotografía",Visuales,Pago,,EUR,1698383.59,,36.0
Beca | Matriz. Beca de Creación Interdisciplinaria en Artes Escénicas,Beca | Matriz. Beca de Creación Interdisciplinaria en Artes Escénicas,Portugal,Teatro-Cine de Torres Vedras. Ayuntamiento de Torres Vedras,"Dirigido a artistas mayores de 18 años, residentes en Portugal, en modalidades individuales o colectivas. No requiere pago. Disciplinas: danza, teatro y artes performativas interdisciplinarias. No está abierto para artistas de Latinoamérica.",https://teatrocine-tvedras.pt/projetos,Beca,Escénicas,Escénicas,Sin cargo,10000.00,EUR,11794.33,,
Convocatoria | Common Grounds: Residencia para la Regeneración Urbana y Rural 2025,Convocatoria | Common Grounds: Residencia para la Regeneración Urbana y Rural 2025,Múltiples Países,"Citadelle de Marseille (FRA), Gradoscope (BG) y Fundación RIA (ESP)","Dirigido a artistas de todas las disciplinas, incluyendo artes visuales, arquitectura, video, fotografía, artesanía, artes escénicas, instalación y artes digitales. Se valorará el interés del artista en proyectos que combinen arte, naturaleza, paisaje, arte y ciencia. Los solicitantes deben dominar el inglés. No hay límites de nacionalidad, sin embargo, los candidatos deben residir en Marsella (Francia), Sofía (Bulgaria) o Galicia (España). Los artistas deben trabajar en una de las tres ciudades en cuestión.",https://gradoscope.com/projects/common-grounds/,Convocatoria,"Multidisciplinar, Arquitectura, Visuales, Escénicas, Digital / Nuevos medios",Escénicas,Sin cargo,,USD,,,
