País,Categoría,Nombre,Og_Resumida
España,Residencia,Residencia artística en Barcelona,"Residencia artística en Barcelona dirigida a artistas de cualquier nacionalidad, incluyendo latinoamericanos, que deseen desarrollar o profundizar su práctica en un entorno internacional; está abierta a diversas disciplinas artísticas, con énfasis en arte performático. La convocatoria ofrece 1 beca completa y 2 medias becas para participantes de la plataforma Datarte, aunque no se especifica el monto exacto destinado a los seleccionados ni los detalles sobre apoyo financiero adicional. No se menciona la existencia de un pago de inscripción obligatorio para postular."
España,Convocatoria,Experiencia inmersiva en un pueblo de la España Rural,"Dirigida a artistas y creadores de todas las disciplinas interesados en desarrollar un proyecto inmersivo en un pueblo de la España rural, la oportunidad Experiencia inmersiva en un pueblo de la España Rural no requiere pago de inscripción, contempla artes visuales, escénicas, música, literatura, audiovisuales, diseño y otras expresiones culturales, y ofrece a los seleccionados una residencia artística con alojamiento, manutención y un estipendio de 500 euros para producción; la convocatoria está abierta a postulantes internacionales, incluyendo artistas de Latinoamérica."
México,Convocatoria,Concurso  para Artistas Emergentes 2025 📲,"The art project es un proyecto creado por artistas y para artistas; nuestro objetivo es fomentar la visibilidad y el desarrollo de artistas emergentes a través de una plataforma que celebre la creatividad, innovación y diversidad en las artes visuales sin importar edad o preparación académica , ya que sabemos que nunca es tarde para empezar en el arte y que hay mucho talento nato y autodidacta allá fuera queriendo ser visto ¿Quiénes pueden participar?
- Artistas en las primeras etapas de su carrera con o sin formación académica pero tu estilo debe ser único
- Mayores de 18 años y no hay limite de edad
- Residencia en México (sin importar nacionalidad )
- Disciplinas visuales : pintura, dibujo, fotografía, escultura"
Bélgico,Convocatoria,Razor Reel Flanders Film Festival (member of the MIFF),"Razor Reel Flanders Film Festival (member of the MIFF) está dirigido a cineastas de todo el mundo que deseen presentar cortometrajes y largometrajes de género fantástico, terror, ciencia ficción y thriller. La inscripción requiere el pago de una tasa, cuyo monto varía según la fecha y la categoría de la obra presentada; la información sobre el monto exacto debe consultarse en la página de inscripción, ya que puede actualizarse anualmente y no figura explícitamente en la descripción general. No se especifica un premio monetario para los seleccionados o ganadores, ni se mencionan estipendios directos para artistas; los premios suelen ser de reconocimiento y exhibición dentro del festival. La convocatoria está abierta a participantes internacionales, incluyendo artistas de Latinoamérica, sin restricciones geográficas señaladas."
España,Convocatoria,LesGaiCineMad Madrid International LGBTI+ Film Festival,"El LesGaiCineMad Madrid International LGBTI+ Film Festival está dirigido a cineastas, productores y realizadores de cualquier nacionalidad, sin restricción geográfica explícita, por lo que pueden participar artistas de Latinoamérica; la convocatoria abarca obras cinematográficas de temática LGBTI+ en todas las disciplinas del cine (largometrajes, cortometrajes, documentales, animación, etc.). Para participar es obligatorio pagar una tasa de inscripción cuyo monto varía según la categoría y el periodo de inscripción, generalmente entre 8 y 30 euros aproximadamente, y no se mencionan exenciones para artistas latinoamericanos. No se especifica en las bases un monto de premio económico para los ganadores, ya que el reconocimiento principal consiste en la exhibición de las obras y la obtención de galardones y diplomas, aunque en algunas ediciones pueden otorgarse premios adicionales no garantizados; se recomienda revisar la página oficial del festival para confirmar si hay premios en metálico en la convocatoria vigente."
Brasil,Convocatoria,Curta-Se Festival Iberoamericano de Cinema de Sergipe,"Curta-SE 24 busca facilitar al público de Sergipe el acceso y la difusión de las producciones audiovisuales iberoamericanas, fomentar el intercambio entre cineastas brasileños e iberoamericanos y educar al público sobre el cine brasileño. También busca promover la accesibilidad, la economía creativa y la sostenibilidad en las ciudades. El Festival se compone de las siguientes secciones: Cine Digital Iberoamericano: Películas realizadas por productores y/o directores iberoamericanos o residentes en Brasil durante más de dos años, finalizadas entre 2023 y 2025, pueden participar en las siguientes categorías: a) Cortometraje Iberoamericano: hasta 15 minutos de duración, 
b) Cortometraje Sergipe
c) Video de Bolsillo: hasta 4 minutos de duración; producido con un teléfono celular o cámara digital;
d) Video Musical: hasta 4 minutos de duración; hasta 10 obras seleccionadas;
e) Tráiler: hasta 4 minutos de duración; Hasta 5 obras seleccionadas;
f) Serie web: hasta 10 minutos de duración; hasta 5 obras seleccionadas.
g) Largometraje: de 70 minutos o más, en formato digital, finalizado entre 2023 y 2025; hasta 5 películas seleccionadas.
"
Chile,Convocatoria,Viña del Mar International Film Festival,"El Viña del Mar International Film Festival está dirigido a cineastas de todo el mundo, incluyendo América Latina, interesados en enviar cortometrajes, largometrajes, documentales, animaciones, guiones y obras audiovisuales de diversos géneros. La convocatoria requiere el pago de una cuota de inscripción, cuyo monto específico debe consultarse al realizar la postulación, y dicha cuota no es reembolsable. La disciplina principal es el cine en todas sus formas, incluyendo propuestas artísticas audiovisuales y musicales. El festival otorga premios en efectivo, siendo el monto principal de 11.000 euros para la categoría principal, aunque pueden existir otros premios según la sección o competencia. La oportunidad está abierta a artistas latinoamericanos sin restricciones geográficas explícitas en la elegibilidad."
México,Convocatoria,Espanto Film Fest,"Espanto Film Fest está dirigido a cineastas de todo el mundo que presenten cortometrajes y largometrajes dentro de los géneros de terror, fantástico y ciencia ficción. La convocatoria requiere el pago de una tasa de inscripción, cuyo monto varía según la fecha y la categoría de la obra; por ejemplo, el coste para cortometrajes internacionales puede ser de aproximadamente 6 € y para largometrajes 10 €, aunque estos valores pueden cambiar y se recomienda verificar en la plataforma antes de enviar la obra. No se especifican premios monetarios para los seleccionados o ganadores; los premios consisten principalmente en trofeos y menciones. La oportunidad está abierta a participantes de Latinoamérica y no existen restricciones geográficas para postular, siempre que las obras cumplan con las temáticas y los requisitos técnicos establecidos en las bases."
Chile,Convocatoria,Santiago Horror Film Festival,"Santiago Horror Film Festival está dirigido a cineastas de todo el mundo que trabajen en los géneros de terror, fantasía y ciencia ficción, aceptando tanto cortometrajes como largometrajes y videoclips relacionados con estos géneros. La oportunidad requiere el pago de una tasa de inscripción que varía según la categoría y el momento de envío, y aunque se aceptan obras de cualquier país, la convocatoria está explícitamente abierta a participantes internacionales, incluyendo artistas de Latinoamérica. No se especifica en la información pública un monto de premio económico destinado a los artistas seleccionados o ganadores; los detalles sobre premios monetarios, si existen, deberían confirmarse revisando las bases oficiales completas del festival, ya que no están disponibles de forma clara en la descripción principal."
España,Convocatoria,Convocatoria Residencias artísticas 2025-26 en el C3A,"Dirigida a artistas con trayectoria profesional demostrable en creación contemporánea, la Convocatoria Residencias artísticas 2025-26 en el C3A ofrece residencias de tres meses en dos periodos posibles (marzo-mayo o septiembre-noviembre), con ayudas de hasta 7.000 euros para los seleccionados; no se menciona pago de inscripción para participar. Están abiertas a diversas disciplinas vinculadas al arte contemporáneo y requieren la presentación de un proyecto concreto y viable. La información disponible no especifica restricciones geográficas, por lo que se asume que artistas de Latinoamérica pueden postular."
